2026-01-08 13:36:17 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:17 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:17 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:17 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:19 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:19 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:19 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:19 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:21 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:21 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:21 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:21 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:23 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:23 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:23 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:23 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:25 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:25 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:25 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:25 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:28 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:28 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:28 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:28 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:30 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:30 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:30 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:30 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:32 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:32 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:32 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:32 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:34 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:34 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:34 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:34 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:36 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:36 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:36 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:36 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:38 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:38 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:38 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:38 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
2026-01-08 13:36:40 | WARNING | CRISIS DETECTED - Brand: Orange Maroc | Score: -0.093
2026-01-08 13:36:40 | WARNING | CRISIS DETECTED - Brand: Inwi | Score: -0.081
2026-01-08 13:36:40 | WARNING | CRISIS DETECTED - Brand: Royal Air Maroc | Score: -0.092
2026-01-08 13:36:40 | WARNING | CRISIS DETECTED - Brand: Attijariwafa Bank | Score: -0.130
